Date-Time,Volume
2020-03-10 12:43:08,30
2020-03-10 12:43:57,60
2020-03-10 12:44:50,90
2020-03-10 12:45:38,120
2020-03-10 12:46:32,150
2020-03-10 12:47:21,180
2020-03-10 12:48:14,210
2020-03-10 12:49:03,240
2020-03-10 12:49:59,30
2020-03-10 12:50:47,60
2020-03-10 13:06:16,30
2020-03-10 13:07:09,60
2020-03-10 13:10:34,30
2020-03-10 13:12:16,30
2020-03-10 13:13:59,30
2020-03-10 13:18:16,30
2020-03-10 13:19:10,60
2020-03-10 13:19:59,30
2020-03-10 13:23:28,30
2020-03-10 13:25:11,30
2020-03-10 13:28:35,30
2020-03-10 13:29:29,60
2020-03-10 13:30:18,90
2020-03-10 13:31:14,120
2020-03-10 13:32:02,150
2020-03-10 13:32:56,180
2020-03-10 13:33:45,210
2020-03-10 13:34:41,240
2020-03-10 13:38:07,30
2020-03-10 13:38:55,60
2020-03-10 13:39:49,90
2020-03-10 13:40:37,120
2020-03-10 13:41:31,150
2020-03-10 13:42:20,180
2020-03-10 13:43:14,210
2020-03-10 13:44:03,240
2020-03-10 13:44:57,270
2020-03-10 13:45:46,300
2020-03-10 13:46:42,30
2020-03-10 13:50:12,30
2020-03-10 13:51:00,60
2020-03-10 13:52:46,30
2020-03-10 13:53:40,60
2020-03-10 13:55:23,30
2020-03-10 13:57:05,30
2020-03-10 13:59:37,30
2020-03-10 14:00:34,60
2020-03-10 14:01:23,90
2020-03-10 14:02:19,120
2020-03-10 14:03:08,150
2020-03-10 14:04:02,180
2020-03-10 14:04:51,210
2020-03-10 14:05:47,240
2020-03-10 14:09:18,30
2020-03-10 14:11:50,30
2020-03-10 14:13:33,30
2020-03-10 14:14:29,60
2020-03-10 14:15:18,90
2020-03-10 14:17:01,30
2020-03-10 14:17:55,60
2020-03-10 14:20:28,30
2020-03-10 14:22:13,30
2020-03-10 14:23:59,30
2020-03-10 14:25:45,30
2020-03-10 14:26:40,30
2020-03-10 14:27:29,30
2020-03-10 14:28:24,30
2020-03-10 14:30:08,30
