Date-Time,Volume
2020-03-10 12:42:50,30
2020-03-10 12:44:04,60
2020-03-10 12:44:47,90
2020-03-10 12:46:02,120
2020-03-10 12:46:45,150
2020-03-10 12:47:55,180
2020-03-10 12:48:38,210
2020-03-10 12:49:45,30
2020-03-10 12:50:28,60
2020-03-10 13:06:47,30
2020-03-10 13:07:29,60
2020-03-10 13:10:36,30
2020-03-10 13:12:26,30
2020-03-10 13:14:16,30
2020-03-10 13:17:58,30
2020-03-10 13:18:41,60
2020-03-10 13:23:27,30
2020-03-10 13:25:17,30
2020-03-10 13:28:59,30
2020-03-10 13:29:42,60
2020-03-10 13:30:49,90
2020-03-10 13:31:32,120
2020-03-10 13:32:39,150
2020-03-10 13:33:22,180
2020-03-10 13:34:29,210
2020-03-10 13:38:06,30
2020-03-10 13:38:49,60
2020-03-10 13:39:54,90
2020-03-10 13:40:37,120
2020-03-10 13:41:42,150
2020-03-10 13:42:25,180
2020-03-10 13:43:31,210
2020-03-10 13:44:14,240
2020-03-10 13:45:20,270
2020-03-10 13:50:53,30
2020-03-10 13:52:42,30
2020-03-10 13:53:25,60
2020-03-10 13:55:14,30
2020-03-10 13:57:02,30
2020-03-10 13:59:54,30
2020-03-10 14:00:37,60
2020-03-10 14:01:41,90
2020-03-10 14:02:24,120
2020-03-10 14:03:36,150
2020-03-10 14:04:20,180
2020-03-10 14:05:24,210
2020-03-10 14:06:08,240
2020-03-10 14:09:06,30
2020-03-10 14:14:28,30
2020-03-10 14:15:11,60
2020-03-10 14:16:59,30
2020-03-10 14:18:02,60
2020-03-10 14:20:32,30
2020-03-10 14:22:17,30
2020-03-10 14:24:05,30
2020-03-10 14:27:39,30
2020-03-10 14:28:42,30
2020-03-10 14:29:27,30
